date,timestamp,period,period_type,count,year,month,day,season,is_weekend,houston_iqr_anomaly_mean,dallas_wind_speed_imputed_mean,houston_pressure_original_mean,nyc_temperature_mean,dallas_wind_speed_mean,la_precipitation_mean,philadelphia_wind_speed_iqr_anomaly_mean,dallas_precipitation_mean,houston_temperature_imputed_mean,philadelphia_humidity_imputed_mean,houston_zscore_anomaly_mean,la_precipitation_iqr_anomaly_mean,phoenix_humidity_iqr_anomaly_mean,phoenix_precipitation_original_mean,philadelphia_precipitation_iqr_anomaly_mean,phoenix_humidity_imputed_mean,dallas_precipitation_zscore_anomaly_mean,nyc_wind_speed_zscore_anomaly_mean,dallas_precipitation_imputed_mean,phoenix_humidity_mean,nyc_wind_speed_imputed_mean,phoenix_temperature_mean,nyc_temperature_imputed_mean,la_wind_speed_imputed_mean,la_precipitation_imputed_mean,houston_humidity_mean,houston_pressure_iqr_anomaly_mean,houston_humidity_iqr_anomaly_mean,nyc_precipitation_original_mean,dallas_zscore_anomaly_mean,seattle_pressure_zscore_anomaly_mean,la_temperature_original_mean,la_wind_speed_zscore_anomaly_mean,seattle_pressure_original_mean,houston_precipitation_mean,dallas_pressure_mean,houston_precipitation_iqr_anomaly_mean,houston_humidity_imputed_mean,houston_humidity_original_mean,la_pressure_original_mean,houston_original_mean,seattle_temperature_imputed_mean,san antonio_iqr_anomaly_mean,seattle_pressure_iqr_anomaly_mean,dallas_original_mean,dallas_pressure_imputed_mean,seattle_precipitation_zscore_anomaly_mean,seattle_precipitation_mean,houston_wind_speed_original_mean,houston_wind_speed_imputed_mean,houston_precipitation_imputed_mean,phoenix_wind_speed_imputed_mean,philadelphia_pressure_mean,philadelphia_humidity_original_mean,philadelphia_humidity_mean,la_pressure_mean,nyc_precipitation_mean,la_humidity_original_mean,phoenix_temperature_original_mean,phoenix_pressure_original_mean,phoenix_temperature_imputed_mean,dallas_wind_speed_original_mean,la_wind_speed_mean,san antonio_original_mean,philadelphia_pressure_imputed_mean,dallas_mean,houston_pressure_mean,nyc_pressure_imputed_mean,seattle_humidity_zscore_anomaly_mean,la_precipitation_zscore_anomaly_mean,seattle_temperature_original_mean,dallas_imputed_mean,philadelphia_temperature_mean,seattle_temperature_iqr_anomaly_mean,seattle_temperature_mean,nyc_humidity_mean,houston_precipitation_original_mean,nyc_wind_speed_iqr_anomaly_mean,dallas_humidity_imputed_mean,dallas_humidity_mean,philadelphia_pressure_iqr_anomaly_mean,la_pressure_zscore_anomaly_mean,philadelphia_wind_speed_zscore_anomaly_mean,seattle_wind_speed_mean,seattle_pressure_imputed_mean,houston_temperature_original_mean,dallas_wind_speed_zscore_anomaly_mean,dallas_temperature_mean,nyc_wind_speed_original_mean,san antonio_imputed_mean
,,2018-07-22,day,3,2018,7,22,Summer,1,,,1015.25,1.1105329109813766,-0.03007643920540124,0.0,,0.0,,,,,,,,,,,,,11.76,,74.2375,,,-1.098283081181812,,,0.050449999999999995,,,76.935,,,0.0,-0.9035076708287457,,,57.0,1014.8,11719.76,,,,13682.75,,,,5.595,,,,,,,-0.1349721915504774,1.248608287487952,55.0,,,,7.77,1.5485719075739715,6405.2,,16666.95,-0.46951940954041377,1015.775,,,,16666.95,,,,0.8411995258243038,,,,-2.003495617380433,,,,,,90.82,,1.6589883524788558,11.76,7637.66
,,2018-10-08,day,1,2018,10,8,Fall,0,,,1011.8,,,,,,,,,,,,,,,,,,,,,,,0.9860445297956527,,,,,,,,,-0.2082053199686719,,,,91.0,,,,,,,,,,4.94,,,,1.0971148625537055,97.0,1.6636322075948775,,,,,,,,,,,15743.25,-1.1754492320963574,,,,,,0.6304989787978237,,,,0.0026,,,,,,,,,77.12,,,,
,,2018-01-04,day,6,2018,1,4,Winter,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15180.31833333333,,,,,,,,,,,,,,,,,,,,,,,,
,,2018-06-05,day,3,2018,6,5,Summer,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18448.21,,1.0,,20991.86,,,,,,,,,,,,,,,,,,,10924.6,,12159.298333333334,,,,,,12222.505000000001,,,,,,,,,,,,,,,,,,6469.5
,,2019-05-06,day,1,2019,5,6,Spring,0,,,,-0.20228473652727694,,,,,,,,,,,,,,,,,,,,,,,,,0.0004,,,,,,,,,,,,,,,,,,,,,,,,-0.7971444121821046,89.0,1.2379416857772751,,-0.2718829327824476,,,,,,,,,15259.28,,,,,,,-0.15550904557922146,,,1.3061803446805473,,,,,,,,,,,,,6.12,
,,2020-03-20,day,3,2020,3,20,Spring,0,,,1017.4,,,,,,,,,,,0.0015,,,,,,1.2450140406122114,,-1.1269159283825445,,,,0.9860445297956527,,,,,,,,,-0.22841415313457372,,,,91.0,,,,,,,,,,8.64,,,,-0.1459927864916767,97.0,1.6636322075948775,,,,52.495000000000005,1021.15,,,,,,10432.11,-0.029592128817155026,,,,,,-0.4141598737857399,,,,0.0021,,,,,,,,,75.75,,,,
,,2019-03-12,day,2,2019,3,12,Spring,0,,,,,,,,,,,,,,,,,,,,1.1945344935304971,,-0.6989165990066601,,,,,,,,,,,,1026.55,,,,,,,11486.62,45.09,,,12020.16,,1.0,-0.42401326107854664,,,,,,,,,,,60.4,1009.4,,,,6046.38,,9414.925,,,,,45.09,9564.71,,,-0.6938489780900217,,,,,,,,,-0.8603847134000508,1026.55,,,,,4878.0
,,2018-01-08,day,3,2018,1,8,Winter,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12258.826666666668,,,,,,,,,,,,,,,,,,,,,,,,
,,2019-08-27,day,5,2019,8,27,Summer,0,1.0,9.125,1013.55,,1.0925803597633894,,,-0.2670044734476421,82.1575,70.125,,,,,,,,,0.00125,,,,,,,0.6488738868434157,,,,,,,,1015.15,-0.11928645403870386,-1.550802398322978,,85.5,85.5,,17796.48,61.08,1.0,,16668.48,1009.7,,0.04697183281561747,3.04,3.04,0.0048000000000000004,,0.07321592840694269,65.84375,0.005767167547418683,,,,,,,11.4825,,10593.5675,1018.475,16901.453375,-0.8173688873216081,,,,61.08,17137.431718750002,0.8079198999008779,,0.7490474648368906,,0.0048000000000000004,,45.0,-1.209121519703601,,,,-0.34717822877538235,1015.15,82.1575,,1.8330261353047879,,10058.31828125
,,2019-08-03,day,2,2019,8,3,Summer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021.1,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,16657.21,,,,,64.87,,,,1.091047309658217,,,,,,,,,-0.3115388895653359,,,,,,
,,2018-10-25,day,2,2018,10,25,Fall,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11242.92,,,,,,,,,,,,,,,,,,,,,,,,
,,2019-11-18,day,4,2019,11,18,Fall,0,,,,,-1.1156893437974438,,,-0.29997504661277513,,,,,,,,,,,,,,,,,,,,,,,,,,1016.6,,-0.2982450684964763,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4.18,,,,11223.7525,,,,,47.79,,,,-0.4502079276896052,,,,,-1.2620797928820564,,,,-1.7466162817565387,,,,-0.054883302998605894,,
,,2019-09-22,day,2,2019,9,22,Fall,1,,,1016.7,1.0627537447678228,2.0020457666047733,0.0,,-0.12413198973206567,,,,,,,,,,,,,,,,,,0.7101776401074589,,,0.0012,,,76.33,,,-0.25872740288342644,-0.19736796810778065,,,86.5,1010.4,,,,,,,,,6.02,,,,0.49035993861487437,51.0,-0.7840882928563355,-1.357099816649972,-0.2475793768140895,52.0,,,,14.49,-0.5091130917015185,,,12037.43,-0.17282426672705242,,,,,,1.1282481967935214,,,0.04623231939266159,0.00135,,,0.00891876340087474,,,,,,81.36,,0.9208933873225186,5.97,
,,2019-05-30,day,2,2019,5,30,Spring,0,,,1007.8,0.5254969903169567,,-0.11797899156134962,,,,,,,,,,,,,,,5.375,,64.35,,,-0.9756755746537259,,,0.0012,,,72.75,,1015.8,-0.24862298630047555,,,,59.0,1010.8,11897.58,,,,10097.18,,,-0.38119643436089534,13.89,,,,,,,-1.245997305277298,-0.2475793768140895,52.0,,,,,2.5079635006427634,6269.67,,10782.307499999999,-1.9939185915814985,1006.45,,,66.23,11888.085,,,1.2137702091191676,1.1561865321462752,0.0016,,,,,,,-1.13361964734374,,87.32,,,5.375,7598.82
,,2020-01-06,day,1,2020,1,6,Winter,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10145.19,,,,,,,,,,,,,,,,,,,,,,,,
,,2018-12-26,day,3,2018,12,26,Winter,0,,,1019.8,,,-0.2654775852491054,,,,,,,,,,,,,,,,,,,,0.7408295167394804,,,,,,50.18,,,-0.24458121966729515,,,,87.0,1014.5,,,,,,,,,6.29,,,,,,,-0.2182990750799909,,55.00000000000001,,,,,-0.5220341905980679,,,11453.443333333335,0.46148948687392505,,,,,,,,,,0.0017,,,,,,,,,62.81,,,,
,,2018-02-01,day,3,2018,2,1,Winter,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12211.433333333332,,,,,,,,,,,,,,,,,,,,,,,,
,,2018-04-08,day,3,2018,4,8,Spring,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12053.596666666666,,,,,,,,,,,,,,,,,,,,,,,,
,,2019-10-25,day,7,2019,10,25,Fall,0,,,1015.3,0.2663356924651079,1.6784786891915462,0.0,,0.026590630451399585,,,,,,,,,,,,,,,,,,-0.6691568083335105,,,,,,71.32,,,-0.28095711936591844,0.5928359849371293,,,64.0,1015.7,,,,,,,,,12.97,,,,1.156310464889179,58.0,-0.4116090862659336,0.1150084590380631,0.0,6.0,,,,13.42,0.6925491056775747,,,10887.358571428571,-0.4592885425468588,,,,,,0.10425906482257385,,,-0.49374540573071846,0.0008,,,1.2799173196838058,,,,,,81.44,,-1.23280597035939,9.84,
,,2019-10-20,day,2,2019,10,20,Fall,1,,,,,,0.0,,,,,,,,,,,,,,-0.4208110130843614,,-0.5798023011411387,,,,,,,,,,67.915,,,,,,,,1012.25,,,,,,,,,,,,,,,,-0.8432507015513185,,50.0,62.6,1009.1,,,0.27584366626385676,,,12625.045,,,,,,,,,,,,,,,,,,,,,,,,
,,2019-07-30,day,1,2019,7,30,Summer,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14757.41,,,,,,,,,,,,,,,,,,,,,,,,
,,2018-03-20,day,2,2018,3,20,Spring,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11296.055,,,,,,,,,,,,,,,,,,,,,,,,
,,2019-08-24,day,2,2019,8,24,Summer,1,1.0,,,,,,,,,85.75,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,14754.325,,1.0,,16707.57,,,,,,,,-0.29768151747639293,85.75,1.0650049112888742,,,,,,,,,8713.369999999999,1016.4749999999999,15929.910937500003,,,,,,15929.910937500003,0.6664614994582867,,,,,,,,,,,,,,,,,8318.0653125
,,2020-04-30,day,2,2020,4,30,Spring,0,,,,-0.23482782187397017,,,,,,,,,,,,,,,,,,,,,,,,,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.229351709837821,,,,,,,,,9651.61,,,,,,,,,,0.7062050945434589,,,,,,,,,,,,,14.75,
,,2018-03-07,day,4,2018,3,7,Spring,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12163.2225,,,,,,,,,,,,,,,,,,,,,,,,
,,2019-04-02,day,3,2019,4,2,Spring,0,,,,,-0.4428512622605927,,,-0.1185869774348323,,,,,,,,,,,,,,,,,,,,,,,,,,1013.3,,1.097221486880684,,,,,,,,,,,,-0.43012995060963966,,,,,,,,,,,,,,6.405,,,,12268.756666666668,,,,,58.15,,,,0.4846518064394013,,,,,0.22075185611469658,,,,-0.052559691305665346,,,,-1.351355556317807,,
